ENSEMBLE	Chrom	Start	End	Strand	Type	SYMBOL
ENSMUSG00000000078.7	chr13	5861482	5870394	+	protein_coding	Klf6
ENSMUSG00000029597.14	chr5	120476526	120483932	+	protein_coding	Sds
ENSMUSG00000079163.3	chr5	137685154	137690751	-	lincRNA	Gm15498
ENSMUSG00000055334.4	chr9	56950878	56983206	+	protein_coding	Snupn
ENSMUSG00000014226.10	chr1	160202367	160212875	-	protein_coding	Cacybp
ENSMUSG00000105795.1	chr5	122025330	122029697	+	antisense	Gm3970
ENSMUSG00000037994.14	chr3	135307700	135345387	+	protein_coding	Slc9b2
ENSMUSG00000032437.10	chr9	115242581	115310421	-	protein_coding	Stt3b
ENSMUSG00000027935.14	chr3	90213695	90226385	+	protein_coding	Rab13
ENSMUSG00000051067.8	chr10	80832801	80844039	-	protein_coding	Lingo3
ENSMUSG00000035273.14	chr5	100679484	100719716	-	protein_coding	Hpse
ENSMUSG00000040102.10	chr6	147091379	147112778	+	protein_coding	Klhl42
ENSMUSG00000084951.1	chr14	60776329	60784581	-	antisense	Mipepos
ENSMUSG00000043715.12	chrX	74569153	74574888	-	protein_coding	Olfr1326-ps1
ENSMUSG00000085407.1	chr7	109438618	109444893	+	antisense	1700095J03Rik
ENSMUSG00000043312.6	chr17	38081624	38088693	-	protein_coding	Olfr131
ENSMUSG00000004151.17	chr12	38779380	38870484	+	protein_coding	Etv1
ENSMUSG00000093825.2	chr14	49928563	49931787	-	protein_coding	Olfr723
ENSMUSG00000099632.1	chr2	163419795	163420361	+	antisense	2900093K20Rik
ENSMUSG00000112785.1	chr12	58813883	58815197	+	lincRNA	Gm47645
ENSMUSG00000023349.14	chr6	123229843	123247021	+	protein_coding	Clec4n
ENSMUSG00000049969.3	chr4	10988662	11007927	-	protein_coding	Plekhf2
ENSMUSG00000069581.12	chr10	77686569	77887021	+	protein_coding	Tspear
ENSMUSG00000046345.5	chr16	32271468	32274781	+	protein_coding	Smco1
ENSMUSG00000102150.1	chrY	18283695	18284883	+	lincRNA	Gm37473
ENSMUSG00000021592.18	chr13	76060422	76098660	-	protein_coding	Arsk
ENSMUSG00000030878.11	chr7	120957036	120982312	-	protein_coding	Cdr2
ENSMUSG00000110844.1	chr9	32613452	32629557	+	lincRNA	Gm47680
ENSMUSG00000046717.5	chr6	138657089	138658544	-	protein_coding	Igbp1b
ENSMUSG00000016179.11	chr1	193346346	193370298	-	protein_coding	Camk1g
ENSMUSG00000032220.10	chr9	70207350	70399766	+	protein_coding	Myo1e
ENSMUSG00000023393.15	chr2	180725263	180742280	+	protein_coding	Slc17a9
ENSMUSG00000027489.15	chr2	154544399	154558890	-	protein_coding	Necab3
ENSMUSG00000020393.16	chr11	5191552	5261558	-	protein_coding	Kremen1
ENSMUSG00000045109.6	chr11	99643106	99644089	-	protein_coding	Krtap4-7
ENSMUSG00000050876.9	chr13	59699806	59710330	-	protein_coding	Spata31d1a
ENSMUSG00000098088.1	chr14	61629484	61630414	+	lincRNA	Gm26916
ENSMUSG00000110641.1	chr8	19140778	19159440	+	protein_coding	Gm45826
ENSMUSG00000099639.6	chr13	70004050	70028348	-	lincRNA	1700084F23Rik
ENSMUSG00000087202.1	chr13	43117673	43125717	-	antisense	Gm15813
ENSMUSG00000110628.1	chr18	44116263	44119567	+	protein_coding	Gm37797
ENSMUSG00000113399.1	chr13	52180411	52181637	+	lincRNA	Gm48199
ENSMUSG00000026239.14	chr1	86542994	86582629	-	protein_coding	Pde6d
ENSMUSG00000114048.1	chr12	26346717	26371748	+	antisense	4930549C15Rik
ENSMUSG00000117731.1	chr18	35489104	35493092	+	antisense	Gm50145
ENSMUSG00000079654.3	chr6	29169232	29179584	-	protein_coding	Prrt4
ENSMUSG00000095442.1	chr12	114487136	114487569	-	IG_V_gene	Ighv1-4
ENSMUSG00000059857.15	chr3	109780040	110144011	-	protein_coding	Ntng1
ENSMUSG00000050810.8	chr4	144157557	144162663	-	protein_coding	Oog3
ENSMUSG00000053838.14	chr11	6105691	6200415	-	protein_coding	Nudcd3
ENSMUSG00000031837.14	chr8	119446719	119472640	+	protein_coding	Necab2
ENSMUSG00000023931.5	chr17	53398889	53463321	-	protein_coding	Efhb
ENSMUSG00000107619.1	chr6	51283532	51287855	-	lincRNA	Gm32479
ENSMUSG00000111734.1	chr9	114118088	114192640	+	lincRNA	Gm29825
ENSMUSG00000004266.15	chr6	124720707	124738714	-	protein_coding	Ptpn6
ENSMUSG00000116720.1	chr16	95183639	95355676	-	antisense	Gm31641
ENSMUSG00000087452.1	chr11	11557421	11579460	+	antisense	Gm11998
ENSMUSG00000006057.15	chr11	96068852	96075670	-	protein_coding	Atp5g1
ENSMUSG00000058628.4	chr9	37771857	37774459	+	protein_coding	Olfr875
ENSMUSG00000074564.3	chr9	3015654	3017210	+	protein_coding	Gm10720
ENSMUSG00000066442.17	chr9	89210676	89377713	+	protein_coding	Mthfs
ENSMUSG00000112573.1	chr10	10270402	10296929	-	lincRNA	Gm48324
ENSMUSG00000091779.8	chr10	104142987	104153674	+	protein_coding	Gm21293
ENSMUSG00000073102.7	chr5	30281388	30366695	+	protein_coding	Drc1
ENSMUSG00000085161.1	chr7	74392698	74411233	+	antisense	Gm7580
ENSMUSG00000050619.14	chr2	121158273	121171125	-	protein_coding	Zscan29
ENSMUSG00000056926.2	chr6	132893011	132893940	+	protein_coding	Tas2r113
ENSMUSG00000103871.1	chrY	18557838	18558876	-	lincRNA	Gm38361
ENSMUSG00000099479.1	chrY	78325294	78328635	-	lincRNA	Gm29146
ENSMUSG00000105471.1	chr5	109769407	109796298	-	lincRNA	A430073D23Rik
ENSMUSG00000096138.5	chr14	53716716	53717291	+	TR_V_gene	Trav7-6
ENSMUSG00000027227.7	chr2	122234749	122265340	+	protein_coding	Sord
ENSMUSG00000033186.9	chr14	99034544	99046134	-	protein_coding	Mzt1
ENSMUSG00000073676.4	chr1	55088132	55091307	+	protein_coding	Hspe1
ENSMUSG00000054342.8	chr7	24370263	24386690	+	protein_coding	Kcnn4
ENSMUSG00000085383.1	chr2	136137006	136140161	+	antisense	Gm14218
ENSMUSG00000020843.15	chr11	76406952	76416292	+	protein_coding	Timm22
ENSMUSG00000111489.1	chr9	14089620	14118301	+	lincRNA	1700019J19Rik
ENSMUSG00000069895.4	chr8	109726451	109737739	-	protein_coding	Atxn1l
ENSMUSG00000089821.1	chr1	87264481	87265174	-	antisense	Efhd1os
ENSMUSG00000115492.1	chr15	18057826	18064111	-	lincRNA	Gm41277
ENSMUSG00000030406.7	chr7	19156061	19166127	-	protein_coding	Gipr
ENSMUSG00000085774.1	chr4	141261762	141266016	-	antisense	Gm13055
ENSMUSG00000020804.12	chr11	116586432	116597680	+	protein_coding	Aanat
ENSMUSG00000025386.2	chr11	120447605	120453500	-	protein_coding	Pde6g
ENSMUSG00000009575.14	chr15	103191544	103239816	-	protein_coding	Cbx5
ENSMUSG00000055110.8	chrX	52575843	52619047	+	antisense	A630012P03Rik
ENSMUSG00000020405.4	chr11	43596049	43601540	-	protein_coding	Fabp6
ENSMUSG00000098519.1	chr9	33031791	33090799	+	lincRNA	Gm27166
ENSMUSG00000105313.1	chr6	69086185	69086487	+	IG_V_pseudogene	Gm43583
ENSMUSG00000004610.4	chr7	43444083	43457800	+	protein_coding	Etfb
ENSMUSG00000048745.3	chr10	130012621	130021286	+	protein_coding	Olfr820
ENSMUSG00000070287.3	chr9	100552188	100571090	-	protein_coding	Slc35g2
ENSMUSG00000027552.14	chr3	14578641	14606309	+	protein_coding	E2f5
ENSMUSG00000087535.2	chr14	25257523	25461128	-	antisense	Zmiz1os1
ENSMUSG00000062712.3	chr7	140399045	140402918	-	protein_coding	Olfr531
ENSMUSG00000021287.12	chr12	111803192	111813873	-	protein_coding	Xrcc3
ENSMUSG00000046516.10	chr16	38346991	38352763	+	protein_coding	Cox17
ENSMUSG00000071149.3	chr6	132737003	132738035	-	protein_coding	Tas2r115
ENSMUSG00000050866.7	chr7	135511466	135528654	-	protein_coding	Clrn3
ENSMUSG00000039555.15	chr4	51216678	51250622	+	protein_coding	Cylc2
ENSMUSG00000071654.6	chr19	8880014	8880923	-	protein_coding	Uqcc3
ENSMUSG00000087629.1	chr11	58126068	58128512	+	antisense	Gm12246
ENSMUSG00000086708.1	chr3	156903863	156920780	-	antisense	Gm15577
ENSMUSG00000090799.2	chr14	50888582	50897507	-	protein_coding	Klhl33
ENSMUSG00000097381.2	chr12	111284762	111293988	+	antisense	A230087F16Rik
ENSMUSG00000111400.1	chr9	43642082	43645157	-	lincRNA	Gm29961
ENSMUSG00000043424.10	chr18	43475418	43477796	-	protein_coding	Eif3j2
ENSMUSG00000114210.2	chr18	64884475	64888491	-	antisense	A330084C13Rik
ENSMUSG00000040164.3	chr2	164163619	164171113	-	protein_coding	Kcns1
ENSMUSG00000105809.1	chr5	132546056	132550633	+	lincRNA	Gm42626
ENSMUSG00000023348.11	chr5	137309654	137314404	-	protein_coding	Trip6
ENSMUSG00000038412.8	chr9	121848563	121858362	-	protein_coding	Higd1a
ENSMUSG00000036091.8	chr9	107580818	107587359	+	protein_coding	Hyal3
ENSMUSG00000023980.7	chr17	47483364	47502292	-	protein_coding	Taf8
ENSMUSG00000086947.1	chr4	53246196	53251115	+	antisense	4930522O17Rik
ENSMUSG00000096532.2	chrY	33702336	33702863	-	lincRNA	Gm21633
ENSMUSG00000027170.12	chr2	104999656	105017080	-	protein_coding	Eif3m
ENSMUSG00000037159.11	chr6	40439088	40466813	+	protein_coding	Wee2
ENSMUSG00000042607.15	chr6	5383386	5433022	+	protein_coding	Asb4
ENSMUSG00000101003.6	chrY	45874035	45876398	+	lincRNA	Gm28456
ENSMUSG00000070311.4	chr9	38218055	38221706	+	protein_coding	Olfr894
ENSMUSG00000006538.12	chr1	74945315	74951672	-	protein_coding	Ihh
ENSMUSG00000028794.13	chr4	128755364	128769298	+	protein_coding	A3galt2
ENSMUSG00000021645.16	chr13	100124852	100137690	+	protein_coding	Smn1
ENSMUSG00000097099.2	chr9	107558809	107568415	-	antisense	Gm9917
ENSMUSG00000075010.5	chr19	11047612	11055808	-	lincRNA	AW112010
ENSMUSG00000097980.2	chr18	63399214	63421197	+	lincRNA	Gm26972
ENSMUSG00000023286.16	chr4	155943831	155959604	+	protein_coding	Ube2j2
ENSMUSG00000076866.3	chr14	53960944	53961602	+	TR_V_gene	Trdv2-2
ENSMUSG00000117902.1	chr18	43840096	43870649	+	lincRNA	Gm41715
ENSMUSG00000067780.3	chr1	17601901	17630939	+	protein_coding	Pi15
ENSMUSG00000056821.13	chr10	82812123	82824242	+	lincRNA	1700028I16Rik
ENSMUSG00000079104.4	chr12	57230412	57239882	+	protein_coding	Prps1l3
ENSMUSG00000058897.18	chr3	130131501	130599877	+	protein_coding	Col25a1
ENSMUSG00000022487.14	chr15	103402405	103430470	-	protein_coding	Gtsf1
ENSMUSG00000103503.1	chr1	186926933	186930112	+	lincRNA	1700023G09Rik
ENSMUSG00000021835.15	chr14	46383520	46390669	-	protein_coding	Bmp4
ENSMUSG00000117009.1	chr17	50235072	50236556	-	lincRNA	Gm41597
ENSMUSG00000040483.15	chr11	72301629	72313733	+	protein_coding	Xaf1
ENSMUSG00000117913.1	chr18	82244560	82258510	-	lincRNA	Gm50294
ENSMUSG00000073399.9	chr17	36881598	36890123	-	protein_coding	Trim40
ENSMUSG00000086765.7	chr4	11122805	11126998	+	lincRNA	Gm11827
ENSMUSG00000008393.9	chr16	8658580	8672155	-	protein_coding	Carhsp1
ENSMUSG00000029345.13	chr5	112326358	112338073	+	protein_coding	Tfip11
ENSMUSG00000100642.1	chr2	74726728	74747918	+	protein_coding	Gm28230
ENSMUSG00000044703.5	chr14	59276913	59297522	-	protein_coding	Phf11a
ENSMUSG00000096417.2	chr14	53390635	53391142	+	TR_V_gene	Trav7-2
ENSMUSG00000032407.14	chr9	95456898	95511996	-	protein_coding	U2surp
ENSMUSG00000018209.15	chr2	164070322	164155524	+	protein_coding	Stk4
ENSMUSG00000115676.1	chr15	63717818	63737680	+	lincRNA	4930449C09Rik
ENSMUSG00000107563.2	chr6	102266100	102336674	+	antisense	4930587E11Rik
ENSMUSG00000067122.2	chr13	111592785	111592856	+	protein_coding	Gm10198
ENSMUSG00000070421.4	chr7	104642877	104647305	-	protein_coding	Olfr658
ENSMUSG00000094881.3	chrY	2599099	2599434	+	protein_coding	H2al2c
ENSMUSG00000103409.2	chr9	107592630	107597075	-	protein_coding	Lsmem2
ENSMUSG00000068815.3	chr2	87800592	87804274	+	protein_coding	Olfr1143
ENSMUSG00000011008.13	chr3	146149833	146195513	+	protein_coding	Mcoln2
ENSMUSG00000100429.1	chr1	73528937	73536349	+	lincRNA	Gm29186
ENSMUSG00000024008.16	chr17	29155556	29238167	-	protein_coding	Cpne5
ENSMUSG00000005057.13	chr5	136218147	136246556	-	protein_coding	Sh2b2
ENSMUSG00000034271.16	chr12	85599027	85639878	+	protein_coding	Jdp2
ENSMUSG00000028702.15	chr4	116094264	116123690	-	protein_coding	Rad54l
ENSMUSG00000071679.4	chrX	144688907	145122411	+	protein_coding	Rtl4
ENSMUSG00000075600.3	chr15	75754430	75841915	-	protein_coding	Zc3h3
ENSMUSG00000020132.10	chr10	115287084	115315594	-	protein_coding	Rab21
ENSMUSG00000042662.16	chr2	152940997	152951698	-	protein_coding	Dusp15
ENSMUSG00000092367.1	chr7	27352649	27357419	-	protein_coding	Gm20479
ENSMUSG00000107768.1	chr6	135312155	135319561	-	lincRNA	Gm44275
ENSMUSG00000073412.6	chr17	35185095	35188439	-	protein_coding	Lst1
ENSMUSG00000094724.8	chr17	6970634	7011299	+	protein_coding	Rnaset2b
ENSMUSG00000095683.2	chr7	23131854	23144480	-	protein_coding	Gm10662
ENSMUSG00000038372.14	chr13	31819579	32338740	-	protein_coding	Gmds
ENSMUSG00000040220.10	chr8	123518834	123536650	+	protein_coding	Gas8
ENSMUSG00000024556.4	chr18	73769903	73815449	-	protein_coding	Me2
ENSMUSG00000024970.5	chr19	7354078	7382994	-	protein_coding	Spindoc
ENSMUSG00000089773.7	chr4	112006269	112029538	+	protein_coding	Skint1
ENSMUSG00000001227.12	chr17	56123085	56140343	-	protein_coding	Sema6b
ENSMUSG00000090581.9	chr3	64531310	64565830	-	protein_coding	Vmn2r6
ENSMUSG00000053414.8	chr16	90386013	90499553	+	protein_coding	Hunk
ENSMUSG00000075070.6	chr16	42725702	42875762	-	lincRNA	4932412D23Rik
ENSMUSG00000057101.8	chr7	24081924	24107713	+	protein_coding	Zfp180
ENSMUSG00000096750.7	chr4	73887066	73891112	-	protein_coding	Gm11757
ENSMUSG00000112711.1	chr10	117863681	117866715	-	lincRNA	Gm32552
ENSMUSG00000110976.1	chr10	31429993	31433506	+	antisense	Gm48093
ENSMUSG00000098230.7	chr5	112793292	112801701	+	antisense	1700095B10Rik
ENSMUSG00000022971.18	chr16	91372783	91405589	+	protein_coding	Ifnar2
ENSMUSG00000111342.1	chr10	43824200	43833392	+	lincRNA	4933404K13Rik
ENSMUSG00000110002.1	chr8	11945465	11948297	-	lincRNA	Gm45680
ENSMUSG00000052406.14	chr2	26953563	26964386	-	protein_coding	Rexo4
ENSMUSG00000020423.6	chr1	134075170	134079120	-	protein_coding	Btg2
ENSMUSG00000042320.17	chr12	85086385	85110759	-	protein_coding	Prox2
ENSMUSG00000047613.10	chr4	153957237	153961925	+	protein_coding	A430005L14Rik
ENSMUSG00000079639.4	chrX	37265338	37270132	+	protein_coding	Rhox4a
ENSMUSG00000090151.1	chr6	8420009	8443455	-	antisense	Gm16043
ENSMUSG00000111517.1	chr2	89401991	89409676	-	protein_coding	Olfr1238
ENSMUSG00000026360.9	chr1	143999338	144004161	-	protein_coding	Rgs2
ENSMUSG00000001143.13	chr1	36419871	36445271	-	protein_coding	Lman2l
ENSMUSG00000085260.7	chr11	59946889	59948142	-	antisense	Med9os
ENSMUSG00000097419.1	chr6	145047559	145050430	+	antisense	Gm26666
ENSMUSG00000102313.1	chr12	115386697	115387128	-	IG_V_gene	Ighv1-62-1
ENSMUSG00000099020.1	chr9	72179183	72179758	-	lincRNA	Gm27159
ENSMUSG00000020647.10	chr12	4247362	4477182	-	protein_coding	Ncoa1
ENSMUSG00000009670.11	chrX	100838648	101059667	-	protein_coding	Tex11
ENSMUSG00000020656.16	chr12	24572283	24617391	+	protein_coding	Grhl1
ENSMUSG00000027808.8	chr3	58519817	58525892	-	protein_coding	Serp1
ENSMUSG00000115787.1	chr14	49722652	49744296	+	antisense	Gm36146
ENSMUSG00000041598.7	chr11	113726850	113751881	-	protein_coding	Cdc42ep4
ENSMUSG00000108282.1	chr6	119570941	119578057	+	antisense	Gm44317
ENSMUSG00000101700.1	chr1	121224276	121227526	+	lincRNA	Gm29359
ENSMUSG00000110760.1	chr9	120611654	120620299	-	lincRNA	Gm39456
ENSMUSG00000039084.8	chr11	94565047	94569127	+	protein_coding	Chad
ENSMUSG00000020883.18	chr11	98082556	98150403	-	protein_coding	Fbxl20
ENSMUSG00000049057.4	chr2	89878437	89883026	+	protein_coding	Olfr1257
ENSMUSG00000073758.10	chr4	126150602	126163491	-	protein_coding	Sh3d21
ENSMUSG00000106218.1	chr3	88845025	88900001	-	antisense	Gm43713
ENSMUSG00000066798.3	chr2	37425500	37443171	-	protein_coding	Zbtb6
ENSMUSG00000024225.5	chr17	28558149	28560766	-	protein_coding	Clps
ENSMUSG00000007877.2	chr11	98383811	98384953	+	protein_coding	Tcap
ENSMUSG00000051437.4	chr7	104148259	104150556	-	protein_coding	Ubqlnl
ENSMUSG00000027820.12	chr3	63241537	63386030	+	protein_coding	Mme
ENSMUSG00000110674.1	chr8	104217202	104218299	-	antisense	Gm45892
ENSMUSG00000114715.1	chr13	113529039	113567767	-	lincRNA	Gm34471
ENSMUSG00000024403.16	chr17	35233660	35238767	+	protein_coding	Atp6v1g2
ENSMUSG00000087608.1	chr4	81930478	81932374	-	lincRNA	Gm12914
ENSMUSG00000031790.8	chr8	95352268	95375080	+	protein_coding	Mmp15
ENSMUSG00000108322.2	chr7	44473538	44486138	+	lincRNA	5430431A17Rik
ENSMUSG00000108579.1	chr7	25577074	25577798	-	lincRNA	Gm29918
ENSMUSG00000032936.13	chr9	107935674	107949691	+	protein_coding	Camkv
ENSMUSG00000115768.1	chr8	105995466	106005975	-	protein_coding	Dpep2nb
ENSMUSG00000097404.2	chr19	6012620	6018462	+	antisense	Gm10814
ENSMUSG00000067101.5	chr5	98553629	98567004	-	lincRNA	1700010H22Rik
ENSMUSG00000108351.1	chr7	121314810	121393101	-	antisense	Gm36736
ENSMUSG00000032750.13	chrX	74966843	75085458	-	protein_coding	Gab3
ENSMUSG00000047714.14	chr16	31251537	31275277	-	protein_coding	Ppp1r2
ENSMUSG00000101507.1	chrY	65315569	65318808	+	lincRNA	Gm29457
ENSMUSG00000060063.9	chr5	149264767	149288153	+	protein_coding	Alox5ap
ENSMUSG00000069089.8	chr13	100702631	100730939	-	protein_coding	Cdk7
ENSMUSG00000014426.9	chr17	12227621	12318796	-	protein_coding	Map3k4
ENSMUSG00000118373.1	chr18	80157921	80162562	-	lincRNA	Gm41787
ENSMUSG00000112336.1	chr12	80259443	80260557	+	antisense	Gm47766
ENSMUSG00000086250.1	chr2	132483212	132501148	-	lincRNA	Gm14095
ENSMUSG00000002102.15	chr2	91054009	91066369	+	protein_coding	Psmc3
ENSMUSG00000021879.13	chr14	26693274	26891703	+	protein_coding	Dnah12
ENSMUSG00000037126.16	chr19	46312087	46327156	-	protein_coding	Psd
ENSMUSG00000043036.13	chr5	122108040	122140823	-	protein_coding	Ccdc63
ENSMUSG00000036968.15	chr5	138187485	138193918	+	protein_coding	Cnpy4
ENSMUSG00000074867.4	chr13	62129886	62236144	+	protein_coding	Zfp808
ENSMUSG00000112073.1	chr10	102435269	102435543	+	lincRNA	Gm47101
ENSMUSG00000005705.10	chr8	105566698	105637393	-	protein_coding	Agrp
ENSMUSG00000021396.5	chr13	51171022	51175188	+	protein_coding	Nxnl2
ENSMUSG00000038605.11	chr2	181595218	181599212	-	protein_coding	Samd10
ENSMUSG00000087684.1	chr2	167827693	167833646	-	lincRNA	1200007C13Rik
ENSMUSG00000047980.6	chr9	35838329	35844150	-	protein_coding	Pate5
ENSMUSG00000087695.1	chr15	39797045	39812377	+	antisense	Gm16291
ENSMUSG00000052407.17	chr4	83525545	83864670	+	protein_coding	Ccdc171
ENSMUSG00000110208.1	chr7	45922215	45924174	-	antisense	Gm45442
ENSMUSG00000105467.1	chr14	53239284	53239553	+	TR_V_pseudogene	Trav5n-3
ENSMUSG00000079806.2	chrY	6680421	6682872	-	protein_coding	Gm21719
ENSMUSG00000027318.17	chr2	131050591	131063814	-	protein_coding	Adam33
ENSMUSG00000102668.1	chrY	20967477	20993657	-	protein_coding	Gm29866
ENSMUSG00000002778.14	chr7	45872772	45883732	+	protein_coding	Kdelr1
ENSMUSG00000117110.1	chr17	9864419	9882149	+	lincRNA	Gm49808
ENSMUSG00000092092.1	chr8	7381015	7428569	+	lincRNA	Gm17215
ENSMUSG00000000982.5	chr11	83647844	83649355	-	protein_coding	Ccl3
ENSMUSG00000067199.4	chr19	41829970	41832583	+	protein_coding	Frat1
ENSMUSG00000039577.17	chr4	152476706	152563183	+	protein_coding	Nphp4
ENSMUSG00000110541.1	chr8	113067262	113093334	+	lincRNA	Gm10280
ENSMUSG00000096505.2	chr14	52990866	52991389	+	TR_V_gene	Trav4d-4
ENSMUSG00000087085.1	chr11	24426246	24722646	+	lincRNA	Gm12068
ENSMUSG00000096993.3	chr9	36767887	36782677	+	antisense	Gm26787
ENSMUSG00000035459.18	chr10	86841198	87008025	-	protein_coding	Stab2
ENSMUSG00000076709.2	chr12	114991108	114991580	-	IG_V_gene	Ighv1-47
ENSMUSG00000114079.1	chr12	39397653	39398556	-	lincRNA	Gm47855
ENSMUSG00000030737.17	chr7	99657804	99711340	-	protein_coding	Slco2b1
ENSMUSG00000063856.7	chr9	108338903	108340343	+	protein_coding	Gpx1
ENSMUSG00000045471.4	chr11	100761069	100762931	-	protein_coding	Hcrt
ENSMUSG00000043090.18	chr8	69761326	69791178	-	protein_coding	Zfp866
ENSMUSG00000071342.5	chr12	40175493	40199490	-	protein_coding	Lsmem1
ENSMUSG00000056959.6	chr11	58773188	58780251	+	protein_coding	Olfr315
ENSMUSG00000097004.1	chr3	89337850	89347831	+	antisense	4731419I09Rik
ENSMUSG00000028132.15	chr3	121201761	121283098	-	protein_coding	Tlcd4
ENSMUSG00000025255.18	chr3	5218526	5415857	+	protein_coding	Zfhx4
ENSMUSG00000073209.4	chr6	30956023	30959078	-	protein_coding	Klf14
ENSMUSG00000099802.1	chr2	115135550	115137786	+	lincRNA	Gm28493
ENSMUSG00000073968.4	chr7	102677582	102687327	-	protein_coding	Trim68
ENSMUSG00000031832.15	chr8	119597871	119605222	-	protein_coding	Taf1c
ENSMUSG00000094588.2	chr9	38348411	38352919	+	protein_coding	Olfr898
ENSMUSG00000116801.1	chr17	14449571	14495791	+	lincRNA	Gm38551
ENSMUSG00000028173.10	chr3	159839672	159938664	+	protein_coding	Wls
ENSMUSG00000095854.4	chr14	52855614	52856166	+	TR_V_gene	Trav14d-1
ENSMUSG00000086105.1	chr11	102614892	102616546	-	lincRNA	Gm11636
ENSMUSG00000101146.1	chrY	75195856	75222058	+	protein_coding	Gm20814
ENSMUSG00000118027.1	chr19	10840163	10841762	-	antisense	Gm10802
ENSMUSG00000079388.9	chr14	4334763	4354688	+	protein_coding	2610042L04Rik
ENSMUSG00000105747.1	chr6	69362725	69363187	+	IG_V_pseudogene	Igkv13-64
ENSMUSG00000105968.1	chr6	69235758	69236158	+	IG_V_pseudogene	Igkv13-71-1
ENSMUSG00000104188.1	chr1	39048648	39057637	-	lincRNA	Gm37821
ENSMUSG00000033216.9	chr6	88257334	88446539	-	protein_coding	Eefsec
ENSMUSG00000051225.9	chr15	57985419	58011009	+	protein_coding	Fam83a
ENSMUSG00000063160.12	chr7	27258433	27282144	+	protein_coding	Numbl
ENSMUSG00000075148.1	chr2	87753056	87753991	-	protein_coding	Olfr1141
ENSMUSG00000117796.1	chr19	44453017	44459853	+	lincRNA	Gm35406
ENSMUSG00000035179.4	chr19	10474235	10482928	-	protein_coding	Ppp1r32
ENSMUSG00000033209.17	chr5	110879803	111289780	+	protein_coding	Ttc28
ENSMUSG00000104872.1	chr5	121835195	121835828	+	antisense	1700008B11Rik
ENSMUSG00000002578.18	chr10	128630843	128669358	-	protein_coding	Ikzf4
ENSMUSG00000042202.15	chr4	155601416	155623340	+	protein_coding	Slc35e2
ENSMUSG00000038026.12	chr1	172320501	172329318	-	protein_coding	Kcnj9
ENSMUSG00000039252.11	chr5	52533517	52566462	-	protein_coding	Lgi2
ENSMUSG00000044976.17	chr9	74110356	74283308	+	protein_coding	Wdr72
ENSMUSG00000056515.9	chr17	65651729	65772752	-	protein_coding	Rab31
ENSMUSG00000031831.6	chr8	119575235	119598454	+	protein_coding	Dnaaf1
ENSMUSG00000056498.13	chr3	84666192	84704575	+	protein_coding	Tmem154
ENSMUSG00000066150.12	chr4	62360727	62391769	+	protein_coding	Slc31a1
ENSMUSG00000053205.9	chr14	45351093	45422820	+	protein_coding	Styx
ENSMUSG00000110698.1	chr8	126029248	126046808	-	antisense	Gm45875
ENSMUSG00000003849.8	chr8	107388225	107403206	-	protein_coding	Nqo1
ENSMUSG00000046879.7	chr11	48861968	48871683	-	protein_coding	Irgm1
ENSMUSG00000068328.9	chr6	83054521	83057808	+	protein_coding	Aup1
ENSMUSG00000110848.1	chr9	23917102	23940342	-	lincRNA	Gm47663
ENSMUSG00000047253.4	chr11	99579976	99581016	-	protein_coding	Krtap1-5
ENSMUSG00000115181.1	chr6	57109454	57115035	+	protein_coding	Vmn1r10
ENSMUSG00000029191.16	chr5	65261850	65335670	-	protein_coding	Rfc1
ENSMUSG00000117692.1	chr19	27260735	27262323	-	lincRNA	Gm50114
ENSMUSG00000047181.12	chr11	95009879	95026087	+	protein_coding	Samd14
ENSMUSG00000069721.2	chr11	99555823	99556853	-	protein_coding	Krtap3-2
ENSMUSG00000003233.12	chr16	20516982	20534010	+	protein_coding	Dvl3
ENSMUSG00000085546.1	chr2	156332317	156339381	-	antisense	Gm14252
ENSMUSG00000032393.15	chr9	65032414	65082651	+	protein_coding	Dpp8
ENSMUSG00000019731.13	chr8	72480641	72492614	-	protein_coding	Slc35e1
ENSMUSG00000043789.8	chr19	10634213	10666213	+	protein_coding	Vwce
ENSMUSG00000095115.2	chr7	118485111	118491975	-	protein_coding	Itpripl2
ENSMUSG00000046178.3	chr6	8948431	9249032	+	protein_coding	Nxph1
ENSMUSG00000113495.1	chr13	62336463	62340727	-	lincRNA	Gm19792
ENSMUSG00000029787.10	chr6	56714899	56761912	+	protein_coding	Avl9
ENSMUSG00000035580.10	chr17	52602709	52979194	+	protein_coding	Kcnh8
ENSMUSG00000069706.3	chr10	23970706	23971719	+	protein_coding	Taar5
ENSMUSG00000102903.1	chr6	41107044	41107303	+	TR_V_pseudogene	Trbv11
ENSMUSG00000097925.1	chr1	189833141	189836620	-	antisense	Gm26574
ENSMUSG00000074292.4	chr8	67352104	67365004	-	lincRNA	Gm10660
ENSMUSG00000078851.4	chr11	58954685	58956830	+	protein_coding	H2aw
ENSMUSG00000001504.10	chr13	72628820	72634198	+	protein_coding	Irx2
ENSMUSG00000041057.10	chr17	71615895	71659031	+	protein_coding	Wdr43
ENSMUSG00000075395.11	chr16	14562317	14634108	+	protein_coding	A630010A05Rik
ENSMUSG00000112968.1	chr13	3325296	3358455	-	lincRNA	Gm48530
ENSMUSG00000021904.6	chr14	31217860	31230352	+	protein_coding	Sema3g
